Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Nonsense","Sabrina Carpenter","emails i can't send","Favorite Songs","Favorite","USUM72210708","6dgUya35uo964z7GZXM07g"
"Co2","Prateek Kuhad","The Way That Lovers Do","Favorite Songs","Favorite","USAT22201719","3hB9lDLyAClYVZivMMl20N"
"Joota Japani","KR$NA","Joota Japani","Favorite Songs","Favorite","INH102400165","3G0gdqt4LTreFwBYaymUhp"
"Feels","AP Dhillon","Feels","Favorite Songs","Favorite","QZFZ22055939","6CzMKOYzhBXzZszsy4yFIG"
"Solace","The PropheC","Solace","Favorite Songs","Favorite","UKD572101201","6wDpGw3mlkvOkEtfLNj2d5"
"Mehrma","The PropheC","Mehrma","Favorite Songs","Favorite","UKD572201701","56L6jhPtECVZTn0GmPolKm"
"Track Suit","Diljit Dosanjh","G.O.A.T.","Favorite Songs","Favorite","TCAEZ2071251","7ABCuDLEY2GyAwnGcqkmt2"
"Sona Kitna Sona Hai","IP Singh","Crew (Original Motion Picture Soundtrack)","Favorite Songs","Favorite","INT102401172","4TEGd5KuV8320Q0p1WME0S"
"Sham","Amit Trivedi","Aisha (Original Motion Picture Soundtrack)","Favorite Songs","Favorite","INS171000195","5Q58RkKyUafm15Syxg79DW"
"Sanson Ki Mala","Rahat Fateh Ali Khan","Sanson Ki Mala","Favorite Songs","Favorite","INU252001877","0kT0RwW83Yl0Vrym7moHAo"
"Scars To Your Beautiful","Alessia Cara","Know-It-All (Deluxe)","Favorite Songs","Favorite","USUM71506811","42ydLwx4i5V49RXHOozJZq"
"Renegades","X Ambassadors","VHS","Favorite Songs","Favorite","USUM71502643","0fYVliAYKHuPmECRs1pbRf"
"Glorious (feat. Skylar Grey)","Macklemore","Glorious (feat. Skylar Grey)","Favorite Songs","Favorite","QZ8TY1700001","3HVr6jTVwBHBa2flM0eURR"
"Nonsense","Sabrina Carpenter","emails i can't send","Favorite Songs","Favorite","USUM72210708","6dgUya35uo964z7GZXM07g"
"Co2","Prateek Kuhad","The Way That Lovers Do","Favorite Songs","Favorite","USAT22201719","3hB9lDLyAClYVZivMMl20N"
"Joota Japani","KR$NA","Joota Japani","Favorite Songs","Favorite","INH102400165","3G0gdqt4LTreFwBYaymUhp"
"Feels","AP Dhillon","Feels","Favorite Songs","Favorite","QZFZ22055939","6CzMKOYzhBXzZszsy4yFIG"
"Solace","The PropheC","Solace","Favorite Songs","Favorite","UKD572101201","6wDpGw3mlkvOkEtfLNj2d5"
"Mehrma","The PropheC","Mehrma","Favorite Songs","Favorite","UKD572201701","56L6jhPtECVZTn0GmPolKm"
"Track Suit","Diljit Dosanjh","G.O.A.T.","Favorite Songs","Favorite","TCAEZ2071251","7ABCuDLEY2GyAwnGcqkmt2"
"Sona Kitna Sona Hai","IP Singh","Crew (Original Motion Picture Soundtrack)","Favorite Songs","Favorite","INT102401172","4TEGd5KuV8320Q0p1WME0S"
"Sham","Amit Trivedi","Aisha (Original Motion Picture Soundtrack)","Favorite Songs","Favorite","INS171000195","5Q58RkKyUafm15Syxg79DW"
"Sanson Ki Mala","Rahat Fateh Ali Khan","Sanson Ki Mala","Favorite Songs","Favorite","INU252001877","0kT0RwW83Yl0Vrym7moHAo"
"Scars To Your Beautiful","Alessia Cara","Know-It-All (Deluxe)","Favorite Songs","Favorite","USUM71506811","42ydLwx4i5V49RXHOozJZq"
"Renegades","X Ambassadors","VHS","Favorite Songs","Favorite","USUM71502643","0fYVliAYKHuPmECRs1pbRf"
"Glorious (feat. Skylar Grey)","Macklemore","Glorious (feat. Skylar Grey)","Favorite Songs","Favorite","QZ8TY1700001","3HVr6jTVwBHBa2flM0eURR"
"Nonsense","Sabrina Carpenter","emails i can't send","Favorite Songs","Favorite","USUM72210708","6dgUya35uo964z7GZXM07g"
"Co2","Prateek Kuhad","The Way That Lovers Do","Favorite Songs","Favorite","USAT22201719","3hB9lDLyAClYVZivMMl20N"
"Joota Japani","KR$NA","Joota Japani","Favorite Songs","Favorite","INH102400165","3G0gdqt4LTreFwBYaymUhp"
"Feels","AP Dhillon","Feels","Favorite Songs","Favorite","QZFZ22055939","6CzMKOYzhBXzZszsy4yFIG"
"Solace","The PropheC","Solace","Favorite Songs","Favorite","UKD572101201","6wDpGw3mlkvOkEtfLNj2d5"
"Mehrma","The PropheC","Mehrma","Favorite Songs","Favorite","UKD572201701","56L6jhPtECVZTn0GmPolKm"
"Track Suit","Diljit Dosanjh","G.O.A.T.","Favorite Songs","Favorite","TCAEZ2071251","7ABCuDLEY2GyAwnGcqkmt2"
"Sona Kitna Sona Hai","IP Singh","Crew (Original Motion Picture Soundtrack)","Favorite Songs","Favorite","INT102401172","4TEGd5KuV8320Q0p1WME0S"
"Sham","Amit Trivedi","Aisha (Original Motion Picture Soundtrack)","Favorite Songs","Favorite","INS171000195","5Q58RkKyUafm15Syxg79DW"
"Sanson Ki Mala","Rahat Fateh Ali Khan","Sanson Ki Mala","Favorite Songs","Favorite","INU252001877","0kT0RwW83Yl0Vrym7moHAo"
"Scars To Your Beautiful","Alessia Cara","Know-It-All (Deluxe)","Favorite Songs","Favorite","USUM71506811","42ydLwx4i5V49RXHOozJZq"
"Renegades","X Ambassadors","VHS","Favorite Songs","Favorite","USUM71502643","0fYVliAYKHuPmECRs1pbRf"
"Glorious (feat. Skylar Grey)","Macklemore","Glorious (feat. Skylar Grey)","Favorite Songs","Favorite","QZ8TY1700001","3HVr6jTVwBHBa2flM0eURR"
"Nonsense","Sabrina Carpenter","emails i can't send","Favorite Songs","Favorite","USUM72210708","6dgUya35uo964z7GZXM07g"
"Co2","Prateek Kuhad","The Way That Lovers Do","Favorite Songs","Favorite","USAT22201719","3hB9lDLyAClYVZivMMl20N"
"Joota Japani","KR$NA","Joota Japani","Favorite Songs","Favorite","INH102400165","3G0gdqt4LTreFwBYaymUhp"
"Feels","AP Dhillon","Feels","Favorite Songs","Favorite","QZFZ22055939","6CzMKOYzhBXzZszsy4yFIG"
"Solace","The PropheC","Solace","Favorite Songs","Favorite","UKD572101201","6wDpGw3mlkvOkEtfLNj2d5"
"Mehrma","The PropheC","Mehrma","Favorite Songs","Favorite","UKD572201701","56L6jhPtECVZTn0GmPolKm"
"Track Suit","Diljit Dosanjh","G.O.A.T.","Favorite Songs","Favorite","TCAEZ2071251","7ABCuDLEY2GyAwnGcqkmt2"
"Sona Kitna Sona Hai","IP Singh","Crew (Original Motion Picture Soundtrack)","Favorite Songs","Favorite","INT102401172","4TEGd5KuV8320Q0p1WME0S"
"Sham","Amit Trivedi","Aisha (Original Motion Picture Soundtrack)","Favorite Songs","Favorite","INS171000195","5Q58RkKyUafm15Syxg79DW"
"Sanson Ki Mala","Rahat Fateh Ali Khan","Sanson Ki Mala","Favorite Songs","Favorite","INU252001877","0kT0RwW83Yl0Vrym7moHAo"
"Scars To Your Beautiful","Alessia Cara","Know-It-All (Deluxe)","Favorite Songs","Favorite","USUM71506811","42ydLwx4i5V49RXHOozJZq"
"Renegades","X Ambassadors","VHS","Favorite Songs","Favorite","USUM71502643","0fYVliAYKHuPmECRs1pbRf"
"Glorious (feat. Skylar Grey)","Macklemore","Glorious (feat. Skylar Grey)","Favorite Songs","Favorite","QZ8TY1700001","3HVr6jTVwBHBa2flM0eURR"
